id,member_id,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt
LOAN_00000000,MEM_0000000,16795,30960, 36 months,24.52,857.2962352713798,D,10+ years,MORTGAGE,68691,Verified,2018-08-02,Fully Paid,medical,26.17,1,691,696,5,1,47277,36.0,23,24065
LOAN_00000001,MEM_0000001,1860,37486, 36 months,20.45,1078.86215221348,D,5 years,MORTGAGE,55309,Not Verified,2015-08-17,Fully Paid,other,20.63,4,697,702,21,0,16604,67.1,31,26783
LOAN_00000002,MEM_0000002,39158,23159, 60 months,24.13,489.66159528569153,E,5 years,MORTGAGE,79152,Verified,2015-02-21,Fully Paid,debt_consolidation,32.68,0,756,761,16,0,18470,69.1,23,44827
LOAN_00000003,MEM_0000003,12284,8910, 36 months,22.35,185.32576402519385,B,2 years,OWN,75814,Verified,2016-07-17,Current,credit_card,12.93,4,682,687,17,2,8910,4.6,21,13265
LOAN_00000004,MEM_0000004,7265,3693, 36 months,19.55,501.0938208821092,A,< 1 year,RENT,125522,Source Verified,2016-05-16,Fully Paid,major_purchase,10.93,2,754,759,27,1,214,21.6,21,28638
LOAN_00000005,MEM_0000005,17850,16858, 36 months,11.51,1167.9923118417528,G,< 1 year,OWN,86395,Verified,2016-04-02,Fully Paid,other,15.35,4,809,814,27,1,38534,58.2,16,6841
LOAN_00000006,MEM_0000006,38194,29810, 36 months,5.98,1322.231492544991,C,2 years,MORTGAGE,108224,Verified,2015-10-13,Fully Paid,debt_consolidation,23.15,0,796,801,2,1,32962,58.8,38,43582
LOAN_00000007,MEM_0000007,22962,21092, 60 months,21.75,1373.710290099297,D,2 years,RENT,181119,Verified,2015-07-29,Fully Paid,car,0.0,1,721,726,15,2,4779,19.4,41,6823
LOAN_00000008,MEM_0000008,17023,24243, 60 months,17.79,599.3566847590142,E,10+ years,MORTGAGE,135115,Not Verified,2018-10-17,Late (31-120 days),car,33.41,4,605,610,14,2,40983,6.6,36,12702
LOAN_00000009,MEM_0000009,2685,31505, 60 months,21.29,590.1809335472849,C,3 years,MORTGAGE,177231,Source Verified,2018-01-21,Fully Paid,major_purchase,12.13,3,811,816,26,0,18820,98.0,40,27224
LOAN_00000010,MEM_0000010,1769,8692, 36 months,11.26,639.725832909097,C,1 year,MORTGAGE,67613,Verified,2015-06-28,Fully Paid,other,24.03,0,689,694,12,2,15153,12.7,20,35563
LOAN_00000011,MEM_0000011,3433,29555, 36 months,12.95,594.9237306610993,C,10+ years,MORTGAGE,47279,Verified,2018-04-24,Fully Paid,car,2.1,1,712,717,18,2,34286,87.2,14,32997
LOAN_00000012,MEM_0000012,6311,7398, 60 months,19.0,1015.985080885454,B,10+ years,MORTGAGE,122690,Source Verified,2017-05-14,Fully Paid,credit_card,17.27,2,753,758,28,2,26684,35.0,20,40646
LOAN_00000013,MEM_0000013,38819,8252, 60 months,23.31,569.5687300913894,A,5 years,MORTGAGE,126754,Not Verified,2015-03-07,Fully Paid,medical,2.72,4,775,780,19,0,22782,85.3,31,19375
LOAN_00000014,MEM_0000014,18568,12721, 36 months,6.76,79.49870809065645,C,10+ years,RENT,89983,Not Verified,2015-03-03,Fully Paid,credit_card,0.45,2,798,803,18,1,28543,62.6,46,34718
LOAN_00000015,MEM_0000015,20769,18939, 36 months,22.23,686.585670997414,A,10+ years,MORTGAGE,61491,Not Verified,2015-07-11,Fully Paid,home_improvement,31.53,0,724,729,23,2,23335,4.9,42,15099
LOAN_00000016,MEM_0000016,29693,12825, 36 months,20.86,375.0204959589522,B,1 year,RENT,176836,Not Verified,2016-03-23,Fully Paid,other,16.19,4,767,772,25,1,3740,91.2,40,26783
LOAN_00000017,MEM_0000017,7396,26251, 36 months,14.31,91.77034978769895,B,3 years,OWN,86829,Verified,2016-04-21,Charged Off,medical,32.59,3,603,608,23,2,32298,77.1,10,28424
LOAN_00000018,MEM_0000018,28480,37955, 36 months,12.1,732.7222797243699,D,< 1 year,MORTGAGE,147360,Verified,2017-10-31,Current,debt_consolidation,13.49,2,800,805,16,1,227,46.4,26,42428
LOAN_00000019,MEM_0000019,26658,25151, 60 months,5.93,348.634110837525,E,5 years,RENT,50594,Verified,2018-05-17,Fully Paid,major_purchase,25.91,3,789,794,7,0,2361,59.4,13,456
LOAN_00000020,MEM_0000020,19942,1036, 36 months,5.31,706.4756315176144,C,10+ years,MORTGAGE,159597,Not Verified,2015-02-24,Charged Off,medical,3.77,3,775,780,13,2,14702,32.8,12,48476
LOAN_00000021,MEM_0000021,19431,29412, 60 months,14.54,452.73748058491543,C,10+ years,OWN,159874,Verified,2018-02-23,Fully Paid,other,7.62,3,811,816,8,1,3101,14.6,43,45490
LOAN_00000022,MEM_0000022,3747,19171, 36 months,11.91,925.3778619066281,G,< 1 year,MORTGAGE,174075,Source Verified,2016-02-12,Current,medical,18.85,4,650,655,13,0,16552,5.8,16,29548
LOAN_00000023,MEM_0000023,1189,33761, 60 months,8.88,1486.772210967241,A,2 years,MORTGAGE,120148,Source Verified,2018-08-23,Fully Paid,other,17.62,0,741,746,13,0,27911,54.1,16,17821
LOAN_00000024,MEM_0000024,20118,16202, 60 months,21.94,843.4862850319141,B,1 year,MORTGAGE,142603,Source Verified,2018-12-07,Fully Paid,home_improvement,7.77,4,776,781,10,1,1422,18.0,23,11758
LOAN_00000025,MEM_0000025,36773,9060, 60 months,16.42,987.9990794945165,B,< 1 year,RENT,42188,Not Verified,2018-01-21,Fully Paid,debt_consolidation,34.83,1,745,750,22,1,34010,35.5,17,32432
LOAN_00000026,MEM_0000026,2899,9065, 36 months,17.67,1382.9498487392418,C,3 years,RENT,71602,Verified,2017-05-09,Fully Paid,car,11.37,0,741,746,11,0,5363,30.2,48,31448
LOAN_00000027,MEM_0000027,2267,30873, 36 months,11.75,592.3006057013829,B,< 1 year,MORTGAGE,188658,Verified,2016-03-27,Current,medical,17.09,4,601,606,14,1,11350,37.5,31,45841
LOAN_00000028,MEM_0000028,32551,37648, 36 months,24.57,291.49525218909537,B,5 years,MORTGAGE,86004,Not Verified,2017-07-08,Fully Paid,home_improvement,13.49,1,601,606,13,2,35605,17.0,30,23615
LOAN_00000029,MEM_0000029,12394,6932, 60 months,22.36,460.0560602493023,B,5 years,RENT,132292,Source Verified,2018-04-21,Late (31-120 days),major_purchase,39.82,4,799,804,3,0,31850,78.3,31,10730
LOAN_00000030,MEM_0000030,4556,27470, 60 months,15.47,634.0526640360964,C,1 year,MORTGAGE,193029,Not Verified,2016-07-23,Fully Paid,major_purchase,13.87,1,662,667,17,1,44023,73.4,11,26917
LOAN_00000031,MEM_0000031,4890,9328, 36 months,23.25,985.2756378209655,C,2 years,RENT,160593,Source Verified,2015-01-14,Fully Paid,car,10.58,3,819,824,3,1,49266,81.9,14,7156
LOAN_00000032,MEM_0000032,31740,7333, 60 months,21.9,56.65264267309549,D,10+ years,RENT,143369,Not Verified,2015-11-23,Fully Paid,debt_consolidation,36.27,4,729,734,20,0,20719,48.7,14,12942
LOAN_00000033,MEM_0000033,15502,12268, 60 months,19.63,1287.4056614121273,C,5 years,MORTGAGE,185682,Not Verified,2018-11-30,Fully Paid,car,6.3,2,728,733,20,0,45439,70.4,33,30301
LOAN_00000034,MEM_0000034,22777,6067, 60 months,19.68,160.33626092225416,B,3 years,OWN,179382,Verified,2017-05-15,Fully Paid,other,36.73,0,691,696,9,0,25404,13.5,33,30141
LOAN_00000035,MEM_0000035,11627,18045, 60 months,7.11,1355.949965931898,E,1 year,RENT,69399,Source Verified,2016-11-27,Current,debt_consolidation,22.74,2,748,753,23,1,33311,59.0,30,38018
LOAN_00000036,MEM_0000036,9792,23770, 36 months,10.42,1426.6800557471033,C,5 years,MORTGAGE,111708,Verified,2016-07-23,Fully Paid,debt_consolidation,8.93,1,749,754,20,1,3126,93.4,43,2731
LOAN_00000037,MEM_0000037,9433,8887, 60 months,6.34,1485.6490514625943,B,3 years,MORTGAGE,77928,Not Verified,2015-11-15,Fully Paid,major_purchase,10.08,2,673,678,5,0,12682,30.7,35,17278
LOAN_00000038,MEM_0000038,12016,34182, 36 months,5.17,1223.7897673899724,B,10+ years,MORTGAGE,113679,Source Verified,2016-03-16,Fully Paid,credit_card,28.44,3,807,812,15,1,19401,61.3,20,37142
LOAN_00000039,MEM_0000039,24897,33370, 60 months,8.17,255.69051261322127,D,< 1 year,OWN,32676,Verified,2016-11-20,Fully Paid,debt_consolidation,1.57,4,786,791,7,1,17745,22.1,16,37954
